,NAME,COVER,STORYLINE
225,斩马刀,,《Collider》消息：吉尔莫·德尔·托罗已经签下合同，将会为[派拉蒙]和J·J·艾布拉姆斯旗下[坏机器人]拍摄忍者题材电影《赞帕托》（Zanbato），并且亲自负责剧本创作。
226,笨蛋都到齐了,,一群来自社会各阶层的笨蛋阴差阳错地聚在一起，他们为了各自的目的处心积虑各显神通，上演了一出偷拐抢骗勾心斗角的好戏。最终，为富不仁者身败名裂，作恶多端者身陷牢笼，迷途知返者回归平静，小人物成了大英雄。
227,与神同行4,,而有消息指出制作公司除了确定将会拍摄电视剧的版本外，亦打算续拍3、4部曲，成为韩国史上经典的系列电影之一。而身为导演的他亦在采访中坦言也有这个想法，虽然暂时尚未接到提案，但若果确实拍摄也完全没有问题。
228,御猫妙鼠,,故事发生在架空的城市——星城，主人公星联邦刑警展青云在执行侦查任务时，与对手黑帮少东白岩之间斗智斗勇的故事。故事由白岩欲顺（偷）展青云的手机展开，可这时白岩丝毫未发觉，自己早已身陷巨大的危机中。故事的另一条线由白岩之父白川和他的心理医生展开，白川将自己密谋杀害各组关键人物的计划告知心理医生后，决心冒死执行计划，但是白川的目标人物总是提前一步被杀害。当白川身边被极快的速度干掉一圈目标大佬后，白川顺理成章的在白氏组中晋升，77mi.cc但是白川一直暗中怀疑他的心理医生。为探索继父子关系，白岩私自展开调查……当真相事发东窗，展青云和白岩竟反目成仇。
229,急转直下,,影片改编自莫林·达巴格的真实经历，莫林的前夫诱拐了他们2周岁大的女儿至中东，莫林花费了超10年时间去寻找女儿。本片计划于2015年年末开拍。
230,放浪记,,据导演关锦鹏近期透露，赵薇要和陈冲一起主演自己的新片《放浪记》。戏剧明星韦天怡（陈冲 饰）在她艺术生涯最辉煌的时候，随着一个戏剧天才叫苏洛（赵薇 饰）的年轻漂亮女孩一夜爆红的出现，命运发生了比舞台上的情节更加戏剧性的改变。两个女人之间展开了一场看不见硝烟的战争。最终她 们才明白，生活才是艺术真正的戏剧。
231,黑杰,,正在筹备中。
232,American Commerce,,"The epic and terrifying true story of Captain Riley and his crew of the American brig, The Commerce, which was wrecked on the desolate coast fringing the Western Sahara in 1815."
233,拉特伯格强盗,,亚马逊将打造朴赞郁极端暴力风格的西部新片[拉特伯格强盗](The Brigands of Rattleborge，暂译)。该片由S·克雷格·扎勒([战斧骨])担任编剧，制片公司正在争取马修·麦康纳饰演主角医生。该剧本出自2016年黑名单剧本，被描述为“一个引人入胜，充满情绪的复仇与惩罚的故事。一群残忍的强盗在暴雨的掩护下抢劫了边境小镇Rattlecreek，一位失去亲人的警长将带着一名医生展开复仇计划。
234,Hansel and Gretel in 3D,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p553079042.jpg,
235,A néma barát,,
236,不明飞行物,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2263374841.jpg,"Based in the near future - where a super secret military organization SHADO (Supreme Headquarters Alien Defense Organization) becomes operational. Its purpose, to defend Earth from an Alien race, which has been abducting humans from all corners of the planet for decades. SHADO's cover is a London movie studio where their main headquarters are hidden deep below the surface. SHADO, run by the extremely dedicated ""Studio Mogul"" and SHADO Commander Ed Straker has a cadre of crack operatives with an arsenal of cutting edge futuristic weapons systems and hidden bases on earth and beyond. UFO is the first in a trilogy of tent-pole movies based on the 1970's cult TV show, UFO, created by Gerry Anderson."
237,未定名雷蒙斯乐队电影,,"A history of the U.S. punk rock band, The Ramones."
238,卡特打败了魔鬼,,"A story centered around a magician, his rival, and the mysterious death of President Warren G. Harding."
239,识夜描银 动画电影,,安迪·琼斯是《奇幻森林》的动画监制，并凭借该动画电影获得第89届奥斯卡最佳视觉效果奖。3月底，剁椒娱投曾撰稿证实了安迪·琼斯将执导脚本：十字卿、作画：潇十里的漫画作品《识夜描银》改编动画的消息，并获悉他将来华参加杭州中国国际动漫节。
240,神像之眼,,奥利维耶·阿萨亚斯两年前挂掉的项目又复活了，还记得那个集结了罗伯特·德尼罗、蕾切尔·薇兹、罗伯特·帕丁森主演的《神像之眼》(Idol's Eye，暂译)吗？当时影片在临开拍前被取消，但日前阿萨亚斯透露：如果进展顺利，影片会在这个冬天前开拍。原定卡司是否回归没有透露。
241,未定名异形契约续集,,在 《异形：契约》票房惨败之后，续集计划尚不明朗。但日前有消息称 《异形：契约》的联合编剧约翰·洛根已经完成了续集 《异形：觉醒》的剧本，目前该项目正在等待拍摄，故事大纲也首次被曝光。
242,甄嬛传,,2015年3月25日下午，小马奔腾在第39届香港国际电影节上举办了2015年新片项目发布会，集团副总裁李立功、影业总经理陈雷出席了活动。去年，小马奔腾遭遇内部纷争，不过，《心花路放》，《太平轮》，《匆匆那年》几部小马出品的影片也在电影市场上获得了不同程度的反响。此番亮相香港电影节，小马奔腾也公布了扶持新导演，加强国际合作，打造全方位ip等电影板块的未来三大发展方向。
243,谎言之屋,,本·阿弗莱克和马特·达蒙联手监制国际足联丑闻题材影片。影片暂未定名，改编自即将发行的纪实文学《Houses of Deceit》，讲述查克·布莱泽在国际足联任职期间，涉嫌受贿、洗钱，最终罪行被揭发的故事。
244,Tender Is the Night,,
245,Black and White,,"Set in the late 1940s jazz scene, a black cop is paired with a white officer for the first time in history to bust a marijuana ring."
246,破晓猎刃-追猎,,破晓猎刃-追猎（Dawn of Huntec: Stalked），是《破晓猎刃》系列最新计划的一部电影长片，由珠海赛理维视（CyliVision）制作组联合原版权方北京润泽金松科技发展有限责任公司出品的正统续作。特效师出身的制作人陈瑛麟继续执导并制作，该片拟于2020年10月出品，并计划于2022 年4月春季开拍。
247,蚁人3,,漫威官方宣布《蚁人3》。
248,Brat Pack,,"The Black October Superheroes are costumed vigilantes that guard the citizens of Slumberg, PA with an iron fist. When their teenage sidekicks (the eponymous ""Brat Pack"") are murdered by the evil Doctor Blasphemy, the Supers recruit a new team of wunderkinds. It is not long, however, before the cadets discover the dark side of super: if they want to save the city, they must first save themselves."
249,克利奥,,
250,Sex Education,,
251,中国缉毒密战,,在“大地电影”2019年度发布会上公布，导演翁子光将与姚晨联手合作《桂花飘香》，以及缉毒题材影片《中国缉毒密战》。
252,星际宝贝,,迪士尼又要将一部经典动画改编成真人电影了！据外媒报道，迪士尼正在开发《星际宝贝》的真人动画电影，迈克·凡·沃斯（Mike Van Waes）执笔剧本，真人版《阿拉丁》的制片人丹·林和Jonathan Eirich担任监制。
253,破碎玻璃之光,,派翠西娅·克拉克森、克里斯·库珀、伊丽莎白·奥尔森加盟《破碎玻璃之光》(Light on Broken Glass，暂译)。影片由丹尼尔·德赖弗斯执导，讲述百老汇音乐剧女演员梅洛迪·哈珀的舞台事业与人生起伏，奥妹和克拉克森分别饰演不同时期的哈珀。奥妹与两位前辈搭戏并挑战百老汇音乐剧，表示是一次不小挑战。
254,乐器,,安德鲁·加菲尔德将主演《万物理论》导演詹姆斯·马什的新传记/剧情片《器乐曲》(Instrumental，暂译)，饰演现实中的英国知名钢琴演奏家James Rhodes。影片改编自Rhodes自传，讲到他是小学生时受到性侵害，而此后音乐拯救了他的人生——这个钢琴神童称他从6岁开始的5年期间，被他所上的全男校的一名体育老师多次强奸。导致他身心受创，包括脊柱损伤、进食障碍和PTSD。而这个老师后来被逮捕并起诉，却在上庭之前因中风死去了。Rhodes活在被侵害的阴影之中很久，是音乐帮他找回平静。
255,马尔科,,迈克尔·法斯宾德将主演间谍题材动作惊悚片[马尔科](Malko，暂译)。影片根据热拉尔·代·维利尔斯撰写的畅销系列小说“S.A.S”进行改编，埃里克·辛格尔([美国骗局])负责执笔剧本。狮门影业已拿下本片全球发行权，法斯宾德同时担任影片制片人。
256,Untitled Hello Kitty Film,,Hello Kitty(凯蒂猫)要进军好莱坞大银幕了！华纳的新线影业近日宣布将把Hello Kitty的故事拍成一部英语片，片中也会有懒蛋蛋、美乐蒂、双子星等别的三丽鸥旗下角色。
257,犬王,,天衣無縫の能楽師・犬王と、盲いた琵琶法師・友魚。少年たちの友情が、禁断の歌舞を解き放つ!
258,撒旦真实存在,,伊桑·霍克、亚历桑德罗·尼沃拉([违命])将主演传记影片[撒旦真实存在](Satan Is Real，暂译)，菲尔·莫里森([六月虫])执导，乔恩·雷蒙德(《幻世浮生》)、谢尔比·盖恩斯共同操刀剧本。影片将聚焦乡村音乐二人组The Louvin Brothers的故事，查理和艾拉这对兄弟的关系由爱、恨、嫉妒与酒精交织在一起。
259,小鱼,,奥利维亚·库克和杰克·奥康纳尔将主演科幻爱情片《小鱼》(Little Fish)，查德·哈蒂根(《104号房间》《来自美国的莫里斯》)执导，Mattson Tomlin编写剧本，改编自Aja Gabel创作的短篇小说。
260,立即应召,,连姆·尼森将出演由罗伯特·洛伦兹执导的动作惊悚片[立即应召](The Minuteman，暂译)。他与克里斯·查尔斯和丹尼·克拉维茨一同撰写剧本。故事讲述退休的越战老兵(尼森饰)发现自己要为一个被卡特尔追杀的小男孩的生命负责。该片将于9月在新墨西哥州和俄亥俄州开拍。
261,暴雨将至,,本片根据“深圳龙岗女模碎尸案”改编 ，获第四届华盛顿华语电影节-最佳原创剧本
262,幽灵,,
263,Hora staccato,,
264,天仓五第四行星,,乌玛·瑟曼、崔维斯·费米尔将携手出演约翰·麦克蒂尔南([虎胆龙威])执导的科幻新片[天仓五第四行星](Tau Ceti 4，暂译)。影片剧本由麦克蒂尔南亲自执笔，故事发生在距离太阳系相当遥远、饱受战争破坏的天仓五第四行星上。三个全副武装的陌生人突然出现在第四行星，他们决意挑战那些恐吓这个地方的寡头和军事暴徒，并着手杀死他们中的每一个人。影片将是麦克蒂尔南继2003年的[基地疑云]后首部导演作品。
265,幸运,,艾玛·汤普森曾因约翰·拉塞特入主天空之舞，写邮件给工作人员决定退出动画片[幸运]的配音阵容。
266,马可效应,,马丁·赞里维特将执导侦探惊悚新片[马可效应](The Marco Effect，暂译)。影片改编自尤西·阿德勒-奥尔森的畅销系列小说，故事讲述正在逃亡的12岁男孩马可，恰好成为了揭露非洲发展援助政府资金中跨国腐败的关键人物。本片由乌尔里奇·汤姆森([更好的世界])、扎基·尤瑟夫([丹麦之子])出演，汤姆森饰演侦探卡尔，尤瑟夫饰演其助手阿萨德，预计2020年1月开机。
267,胖子,,梅尔·吉布森将主演黑色动作喜剧[胖子](Fatman，暂译)，饰演圣诞老人！影片将聚焦一个聒噪、与传统印象完全不相同的圣诞老人(吉布森饰)，他正在与他每况愈下的业务表现作斗争。与此同时，比利这个常常被人忽视的12岁早熟男孩，在他的长袜中收到一块煤后，雇佣了一个杀手去杀掉圣诞老人。影片由[小城犯罪]导演内尔姆斯兄弟自编自导，将于明年初加拿大开机。
268,边境杀手3,,《边境战士3》的故事和第一部有所不同，整个情节线将围绕本尼西奥-德-托罗扮演的角色展开。曾拍摄过《警察皆混蛋》的意大利导演斯蒂法诺-索利马担当了本片的导演。早在《边境杀手》获得口碑和票房双赢的时候，续集就已经开始酝酿，但第一部的导演丹尼斯-m.77mi.cc维伦纽瓦当时正在筹备科幻巨片《银翼杀手2049》，因此第二部《边境战士》由斯蒂法诺-索利马接手。现在，在第三部即将筹备时，维伦纽瓦明确表达了回归的愿望，但是他手头的项目可能会阻止他的回归。
269,恶棍之城,,让·雷诺、兰尼克·加特里、斯坦尼斯拉斯·莫哈、大卫·贝利将主演奥利维埃·马夏尔([里昂黑帮])执导的惊悚片[恶棍之城](Rogue City，暂译)。故事将围绕一个打击帮派的警察(雷诺饰)展开，他将用非正规的方法调查一起发生当地夜总会他长期竞争对手身上的枪击事件。影片预算达1300万美元，法国马赛取景，9月开机，预计2020年第二季度开机。
270,无穷,,《速度与激情》系列电影的导演林诣彬旗下的完美风暴娱乐公司，将与北京蒲落影视深度合作，共同开发具有全球视野的影视剧。目前两家公司正在开发科幻剧本《Infinity》来制作好莱坞电影。
271,V.F.W.,,史蒂芬·朗将主演动作恐怖新片[V.F.W.]。影片被描述为[日落黄沙]和[活死人之夜]的结合体。故事讲述弗雷德和他的战友们必须保护他们当地的VFW基地。一个无辜的青少年将对抗疯狂的毒贩和无情的朋克变种人军队。这将是这些越战老兵们一生中最漫长的夜晚。本片由乔·毕高斯执导，马克斯·布拉利尔、马修·麦卡德尔撰写剧本，将于本月在达拉斯开机。
272,马达加斯加4,,《马达加斯加4》（《Madagascar 4》）是一部美国电影，预计2018年05月18日 在美国上映。讲述了斑马马蒂逃出动物园后，亚历克斯和其他几个朋友逃出了中央公园，寻找马蒂的故事。
273,拳影迷宫,,《终极斗士》系列组合艾萨克·佛罗伦汀与斯科特·阿金斯的新电影《拳影迷宫》（暂译）即将上马。故事讲述阿金斯扮演的MMA格斗员在遭受不明人物袭击丢失冠军腰带后，决定重返赛场争回荣誉。可此举不仅让他陷入危险境地，直面敌手，也揭开了他不为人知的过去。影片计划今秋开拍。
274,特斯拉,,传奇科学家尼古拉·特斯拉的故事将被搬上大银幕，《冷战》男主角托马斯·科特将主演。安南德·图克尔执笔剧本，讲述特斯拉人生中最后一项重大的实验的故事。
275,机械战警归来,,据外媒报道，米高梅正在开发新的《机械战警》电影，由《第九区》导演尼尔·布洛姆坎普执导，命名为《机械战警归来》（RoboCop Returns），希望发展成系列电影。新版的剧情梗概为：混乱来临，底特律的命运悬而未决，机械战警胜利回归，打击犯罪和腐败。
276,众神殿,,《速度与激情》系列电影的导演林诣彬旗下的完美风暴娱乐公司，将与北京蒲落影视深度合作，共同开发具有全球视野的影视剧。目前两家公司准备将雨果奖获得者郝景芳的短篇科幻小说《众神殿》搬上好莱坞银幕。
277,中国富豪女友,,全亚裔班底好莱坞电影《摘金奇缘》（曾译名《疯狂的亚洲富豪》）在北美获得票房、口碑双票房的战绩，华纳乘胜追击，打算再拍续集，改编关凯文的第二本小说《中国富豪女友》（China Rich Girlfriend）。
278,蜘蛛侠：英雄归来3,,影片的主演汤姆·赫兰德也确认，他跟索尼签了《蜘蛛侠：归来》三部曲的片约，同时还会客串漫威的多部电影，漫威电影宇宙越来越精彩了。
279,杰特·戴,,援引That Hashtag Show消息，华纳将打造美版詹姆斯·邦德影片。华纳正在积极开发新的动作冒险影片项目[杰特·戴](Jett Day，暂译)。比尔·迪比克(《黑钱胜地》)操刀剧本，故事讲述一名黑人特工努力防止新发现的钻石矿落入外国势力的手中。凯文·麦克克科尔目前在挑选导演及演员阵容，饰演杰特·戴的演员被期望为克里斯·海姆斯沃斯类型，饰演杰特·戴舅舅布兰登的演员被期望为布拉德·皮特类型。影片预计年底开机。
280,旅程,,日本东映动画将与沙特动画工作室Manga Productions打造合拍动画片[旅程](The Journey，暂译)。影片成本估计在1000万美元到1500万美元之间。这部基于古代阿拉伯历史和文化的动画电影将由静野孔文([哥斯拉：决战之都])执导。这部合拍片源于2017年11月两家公司达成的一项协议，一个月后沙特阿拉伯解除了对电影院长达35年的禁令。
281,疾速追杀4,,狮门宣布《疾速追杀》第四部定档2021年5月21日北美上映，2年后的今天。系列主演基努·里维斯是否回归尚未宣布，不过狮门应该会力保他回归。
282,白雪公主与七个小矮人,,迪士尼宣布将把1937年经典动画《白雪公主与七个小矮人》再次搬上银幕，推出真人版大电影。根据《综艺》杂志独家报道，曾经执导《超凡蜘蛛侠》系列的导演马克·韦布正与迪士尼协商，有望担任导演。迪士尼也在同《火车上的女孩》编剧艾琳·威尔逊协商，希望由她来为真人版《白雪公主》创作剧本。真人版将在动画版的故事与音乐基础上进行扩展与加工。为《阿拉丁》撰写茉莉公主觉醒之歌“Speechless”的《爱乐之城》词曲搭档本吉·帕塞克、贾斯汀·保罗再次被迪士尼招募，他俩将为白雪公主继续创作新歌。
283,尸体交错,,[东方的承诺]续集将于今年开始制作？近日，[东方的承诺]编剧斯蒂文·奈特在接受Collider采访时，谈及了[东方的承诺]续集的想法。据斯蒂文透露，“续集影片将依旧围绕俄罗斯主题展开，我将把近年来的元素融入其中。”不过原版影片导演大卫·柯南伯格与主演维果·莫腾森将不会回归续集影片。斯蒂文提到该片有望于今年启动制作。
284,未定名阿尔文·艾利传记片,,[月光男孩]导演巴里·詹金斯将执导根据著名编舞家阿尔文·艾利(Alvin Ailey)生平改编的未定名影片。福斯探照灯出品，Julian Breece(《火星先驱》)操刀剧本。阿尔文·艾利是非裔美国编舞家和行动主义者，他创立了纽约市的艾文·艾利美国舞蹈剧院。他因推广现代舞和改变非裔美国人参与20世纪的音乐会舞蹈而受到赞誉。艾利的舞蹈杰作《启示》被认为是最著名和最常见的现代舞表演。影片将把阿尔文的生活与舞蹈呈现在银幕上。
285,大都会,,80岁生日前夕的弗朗西斯·福特·科波拉计划执导新片[大都会](Megalopolis，暂译)。科波拉透露，该片已准备了多年，已经有剧本了，并且开始非正式地与可能的演员进行商谈。据悉，裘德·洛在商谈的演员之中。 据《Deadline》报道，该影片设定在纽约，讲述一名建筑师企图在这座城市创造一个乌托邦，这个企图被市长强烈反对。
286,觉醒,,吉娜·罗德里格兹将出演Netflix科幻惊悚片[觉醒](Awake，暂译)。一场突如其来的全球性事件摧毁了所有的电子设备，剥夺了人类的睡眠能力，世界陷入混乱。罗德里格兹饰演的退伍军人也许掌握着治愈她女儿的方法，她将在自己失去理智之前拯救世界。导演马克·拉索([柯达克罗姆胶卷])将与兄弟约瑟夫·拉索以及及Greg Poirier共同撰写剧本。
287,实金,,Netflix宣布其制作的首部德国原创电影[实金](Concrete Gold，暂译)杀青。该片由大卫·克劳斯([朗读者])、弗雷德里克·劳([冒牌上尉])、亚妮娜·乌泽([一次聚会])主演，Cüneyt Kaya自编自导，讲述三个腐败的房产经纪人的兴衰故事，他们在很短的时间内就积累到了许多财富，但却陷入了欺诈、贪婪与毒品的旋涡之中。
288,暴力信条,,故事发生在1910年墨西哥大革命期间，Rawbone是个脾气暴躁行事张扬的职业杀手，在一次武器走私的买卖途中，他不幸被警方拘捕。为此，他的律师提出一项解决方案，只要Rawbone同意与联邦调查局合作，成为探员Lourdes的卧底并混入墨西哥地下黑社会调查，便在法律上放他一马。然而事情并没有想象中那么简单，除了警匪相互利用之外，这两人还有一层更深的关系，Lourdes居然是Rawbone的亲生儿子，而这点只有Lourdes本人知道。（如果一切商谈顺利，贝尔将出演Rawbone这一角色。）
289,最后的派对,,"A Spanish swindler by the nickname of Xavier advises to invest in international movies, where they can easily erase the tracks and clean the spotted money. With this intention they arrive to Hollywood and settle there as big tycoons of show business. Xavier engages Sister (nickname) as secretary. Sister is insignificant in looks, but an expert in cinema. . Taking profit of her knowledge and know-how, Xavier engages the cheapest directors, ghost writers, qiwan.cc stand-in, stuntmen, featured players - who had been the traditional working basis for Hollywood grandeur. Xavier is well received at Beverly wild parties, where he starts the plots to swindle known distributors, TV stations executives, theatre owners.. Xavier hasn't got the slightest intention to produce films. He expects for great results in swindles and fleeing with the booty to Singapore. Sister does not agree with Bogus 'methods, but is seduced by his inexhaustible capacity for lie and deceit."
290,Für Kate,,
291,蝙蝠侠,,本·阿弗莱克将成为第一个自导自演的超级英雄饰演者。报道指出，该独立电影已定名《蝙蝠侠》，编剧为《蝙蝠侠大战超人：正义黎明》与《正义联盟》的编剧之一克里斯·特里奥，他此前与小本合作的《逃离德黑兰》，获得了当年的奥斯卡最佳影片奖和最佳改编剧本奖，可见克里斯·特里奥对各种电影题材的把握能力，同时他也将成为好莱坞未来数年最忙碌的编剧之一。
292,Foster,,《爱乐之城》《马戏之王》之后，词曲家本吉·帕塞克&贾斯汀·保罗确定了下一个电影项目，两人将为福斯动画/蓝天工作室的新片写歌，该片暂定工作名称为《Foster》，也是蓝天首部音乐动画。讲述一个年轻小男孩是一系列幻想小说的超级粉丝，但他不满意结局，亲自去找作者表达自己的不满，两人被传送进了一个神秘世界。 Karen Disher(《拽妹黛薇儿》)和史蒂夫·马蒂诺(《花生大电影》《冰川时代4》)联合执导，Tim Federle(《公牛历险记》)编写剧本，Marc Platt(《爱乐之城》《比利·林恩的中场战事》)制片，北美2021年3月5日上映。
293,Covers,,达科塔·约翰逊（《五十度灰》）和特雷西·埃利斯·罗斯（《喜新不厌旧》）将主演喜剧片《Covers》，故事设定在充满才华、名气、快节奏的好莱坞音乐圈。由在今年圣丹斯电影节引起关注的新喜剧《深夜秀》的导演Nisha Ganatra执导，焦点影业和Working Title影业出品。焦点负责北美发行，环球负责北美之外。
294,活死人军团,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2546803041.jpg,自扎克·施奈德因“家庭变故”中途离开《正义联盟》导演岗位之后（也有说法称他是被华纳DC炒了鱿鱼），就一直未有长片新作推出。今天，扎导自《正义联盟》之后第一个长片执导项目终于官宣了——他将为Netflix执导丧尸惊悚片《死亡之师》（暂译，Army of the Dead）。值得一提的是，扎导15年前的导演处女作《活死人黎明》就是丧尸片。在为华纳DC执导多部超级英雄大片后，扎导又重回开始的地方。
295,万德,,艾伦·艾克哈特将出演[她唇之下]导演爱普洛·马伦执导的惊悚片[万德](Wander，暂译)。该片剧本由蒂姆·多伦执笔，故事围绕着精神不稳定的私家侦探亚瑟·布莱特尼克(艾克哈特饰)展开。他受雇调查万德一个小镇里的可疑死亡案件，该起案件与导致他女儿死亡的阴谋有关。影片将于6月在新墨西哥州开拍。
296,红，白，皇家蓝,,亚马逊影业击败威秀、派拉蒙、华纳等强劲竞争对手，拿下Casey McQuiston撰写的，将于5月14日上市的小说《红，白，皇家蓝》(Red White & Royal Blue，暂译)的电影改编权。Berlanti影业负责制作，Ted Malawer负责改编剧本。而究竟是怎样的故事引来如此多的好莱坞片方竞相争夺呢？
297,达科塔,,夫妻档梅根·福克斯和布莱恩·奥斯汀·格林首次合作电影，两人将主演家庭动作冒险惊悚片《达科塔》，柯克·哈里斯(《海豚伯尼》《军犬》)执导，约翰尼·哈林顿编写剧本。
298,巅峰游戏：终极玩家,,《巅峰游戏》系列电影首部曲《巅峰游戏：终极玩家》，该片在中国云南、挪威、匈牙利、德国等地拍摄，讲述了以中国科学家为核心的团队联合世界各地的科技精英拯救全球危机的故事。影片计划于2019年11月拍摄，2021年春节档在全球同步上映。
299,猎手,,
300,国王,,道恩·强森又有新片立项，他将在电影《国王》(The King)里化身夏威夷王国的首代君主卡米哈米哈大帝，这也是强森继《海洋奇缘》后再次饰演来自故乡夏威夷文化中的重要角色。
301,乐队男孩,,百老汇舞台剧《乐队男孩》(The Boys in the Band)将被翻拍为电影，舞台剧全员卡司吉姆·帕森斯、扎克瑞·昆图、安德鲁·兰内斯、马特·波莫、查理·卡维尔、罗宾·德·齐泽斯、塔克·霍金斯、迈克尔·本杰明·华盛顿、布莱恩·胡奇森回归出演，乔·曼特罗执导，瑞恩·墨菲将担任制片人，Netflix出资打造。该舞台剧讲述石墙运动前，纽约同志们的生活。
302,特警新人类3,,据港媒报道，谢霆锋2019年4月17日出席活动时接受采访，承认《特警新人类》将原班人马拍一部电影，在等陈木胜导演准备好剧本便开拍。他还笑称拍摄《特警新人类》是在20年前，当时自己19岁，再拍就是“特警老人类”了。谢霆锋也表示不介意有动作戏，“动作片代表香港，是香港精神”。
303,爱情，婚礼和其它灾难,,"戴安·基顿、杰瑞米·艾恩斯将主演一部以女性为主导的浪漫喜剧[爱情，婚礼和其它灾难](Love, Weddings & Other Disasters，暂译)，丹尼斯·杜根([我盛大的同志婚礼])执导。DNCE吉他手JinJoo Lee、杰西·麦卡尼([鼠来宝])、维罗尼卡·费瑞尔([西伯利亚])同时出演。故事围绕婚礼上的工作人员为一对爱侣创造完美的一天，然而这对爱侣的关系却是异乎寻常、古怪、疯狂、远非完美的。影片将于下月美国波士顿开机。"
304,舞动,,STX Films将打造艾丽西亚·凯斯担任制片的新片[舞动](Work It，暂译)，但目前凯斯还没被敲定主演。
305,大侦探福尔摩斯3,,《大侦探福尔摩斯3》官宣定档：2020年12月25日北美开画！ 小罗伯特·唐尼和裘德·洛回归继续饰演福尔摩斯和华生，剧本由《毒枭》创作人克里斯·布兰卡托负责，目前尚未确认导演人选。
306,罗伯,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2542547645.jpg,华纳兄弟公司将请盖伊·里奇（Guy Ritchie）执导根据DC漫画《罗伯》（Lobo）改编的同名电影。
307,温德尔和怀尔德,,Netflix拿下定格动画《Wendell And Wild》的发行权，将负责投资，“黑人兄弟”乔丹·皮尔和科甘-迈克尔·凯加盟，为两个诡计多端的恶魔兄弟配音。亨利·塞利克(《飞天巨桃历险记》《圣诞夜惊魂》)执导，并同皮尔、 Clay McLeod Chapman共同创作剧本，阿根廷知名艺术家Pablo Lobato将进行人物造型设计，Ellen Goldsmith-Vein(《移动迷宫》系列)、皮尔、 Sarah Serata(《飘零叶》)等参与制片。
308,法式告别,,米歇尔·菲佛、卢卡斯·赫奇斯、崔西·莱茨将出演超现实主义喜剧片[法国出口](French Exit，暂译)。阿扎泽·雅各布斯将执导这部改编自帕特里克·德维特小说的电影。菲佛饰演60岁的曼哈顿社交名媛弗朗西丝·普莱斯，赫奇斯饰演她没有方向的儿子马尔科姆，莱茨饰演她已故多年的丈夫富兰克林的化身——一只家猫。
309,寻子遇仙记：动画冒险,,雅各布·特伦布莱将为查理·卓别林经典电影[寻子遇仙记]的科幻动画版配音。这部名为[寻子遇仙记:动画冒险] (The Kid: An Animated Adventure，暂译)的动画片以未来派的纽约为背景。城市被洪水淹没，垂直分裂成两个截然不同的区域。特伦布莱献声的小男孩和他母亲住在无聊的、没有艺术的、有过度安保的富人区。于是他逃走展开冒险，最终在神秘和危险的市中心遇到了有人类灵魂的机器人卓别林。在警察、母亲和一群色彩斑斓的现代马戏团演员的追捕下，两人一起踏上了探索卓别林背后秘密的冒险之旅。
310,卢克索,,安德丽亚·瑞斯波罗格、卡里姆·萨利赫([炸弹枕边人])、迈克尔·兰德斯([金矿])将主演影片[卢克索](Luxor，暂译)，泽娜·杜拉(Zeina Durra)执导。影片讲述一名在约旦和叙利亚边境诊所工作的医护工作者(安德丽亚·瑞斯波罗格饰)前往埃及的卢克索古城度假，她在那里与一名考古学家(卡里姆·萨利赫饰)产生了爱情。该片已在卢克索开拍。
311,欢乐好声音2,,美国媒体报道，环球影业照明娱乐宣布了一波动画电影的档期，《小黄人大眼萌2》《欢乐好声音2》纷纷定档，《爱宠大机密2》延期一年。
312,一千只纸鹤,,埃文·蕾切尔·伍德、吉姆·斯特吉斯、寺岛忍加盟新片[一千只纸鹤](One Thousand Paper Cranes，暂译)。本片聚焦广岛幸存者佐佐木贞子和作家埃莉诺·科尔的故事。理查德·雷蒙德([沙漠舞者])执导本片，本·波利亚撰写剧本。该剧本曾被列入好莱坞尚未制作的最热门剧本黑名单。影片讲述1945年广岛原子弹爆炸时，佐佐木只有2岁的真实故事。由于暴露在爆炸的辐射中，她后来被诊断出患有白血病。日本传说中描述，如果她折1000只纸鹤，就能实现她的一个愿望——活下去。科尔是一名有抱负的记者，也是一位年轻的母亲。她了解了这个女孩，并决定与全世界分享她的故事。本片将于今年晚些时候开拍。
313,柔道煞星,,尼古拉斯·凯奇、阿兰·莫西(《泰坦》《搏击之王》系列)将主演动作片《柔术》(Jiu Jitsu)，迪米特里·洛戈塞蒂斯(《搏击之王》系列)自编自导。基于同名漫画，讲述一群古代的柔术高手每隔六年就要在一场争夺地球的战斗中面对可怕的外星入侵者。凯奇的角色和他的柔术团队与莫西的角色联手获得胜利。
314,艾菲尔铁塔,,艾玛·麦肯(《性爱自修室》)、罗曼·杜里斯([新女友])将主演法语新片[艾菲尔铁塔](Eiffel，暂译)。马丁·布尔布隆([要爸还是妈])执导。影片将围绕艾菲尔铁塔背后的爱情故事展开。艾玛将饰演Adrienne Bourgès，一名与工程师居斯塔夫·埃菲尔有关的神秘、出身名门的女性。故事讲述艾菲尔与弗里德利·奥古斯特·巴特勒迪合作成功自由女神像后，他为1889年巴黎世界博览会设计一些引人注目的东西而倍感压力，在寻找灵感时，他偶遇了Adrienne，他们之间禁忌的激情也为艾菲尔铁塔的设计带来了灵感。该片将于8月开拍。
